run_id,job_id,stage_id,task,note,files_read,input_size_bytes,shuffle_read_bytes,shuffle_write_bytes,timestamp
rdd_top10,,94,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,59,0,2025-10-27T17:34:17.501761
rdd_top10,,93,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501763
rdd_top10,,92,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501765
rdd_top10,,91,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,560,59,2025-10-27T17:34:17.501767
rdd_top10,,90,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501769
rdd_top10,,89,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,2,184752,0,560,2025-10-27T17:34:17.501771
rdd_top10,,88,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,2935,0,2025-10-27T17:34:17.501773
rdd_top10,,87,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501775
rdd_top10,,86,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,2,184752,0,2935,2025-10-27T17:34:17.501777
rdd_top10,,85,runJob at PythonRDD.scala:189,Top10 RDD,0,0,353,0,2025-10-27T17:34:17.501779
rdd_top10,,84,sortBy at /tmp/ipykernel_1843/235056678.py:2,Top10 RDD,0,0,762,676,2025-10-27T17:34:17.501781
rdd_top10,,83,reduceByKey at /tmp/ipykernel_1843/1745975021.py:4,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501783
rdd_top10,,82,sortBy at /tmp/ipykernel_1843/235056678.py:2,Top10 RDD,0,0,762,0,2025-10-27T17:34:17.501785
rdd_top10,,81,reduceByKey at /tmp/ipykernel_1843/1745975021.py:4,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501787
rdd_top10,,80,sortBy at /tmp/ipykernel_1843/235056678.py:2,Top10 RDD,0,0,762,0,2025-10-27T17:34:17.501789
